;;Consumer price index;Change on previous year's month;Change on previous month
2022;April;108.8;6,3;0,6
2022;May;109.8;7;0,9
2022;June;109.8;6,7;-
2022;July;110.3;6,7;0,5
2022;August;110.7;7;0,4
2022;September;112.7;8,6;1,8
2022;October;113.5;8,8;0,7
2022;November;113.7;8,8;0,2
2022;December;113.2;8,1;-0,4
2023;January;114.3;8,7;1
2023;February;115.2;8,7;0,8
2023;March;116.1;7,4;0,8
2023;April;116.6;7,2;0,4
2023;May;116.5;6,1;-0,1
2023;June;116.8;6,4;0,3
2023;July;117.1;6,2;0,3
2023;August;117.5;6,1;0,3
2023;September;117.8;4,5;0,3
2023;October;117.8;3,8;-
2023;November;117.3;3,2;-0,4
2023;December;117.4;3,7;0,1
2024;January;117.6;2,9;0,2
2024;February;118.1;2,5;0,4
